time,open,high,low,close
2025-10-15 17:24:00+00:00,1.16346,1.16352,1.16326,1.16338
2025-10-15 17:25:00+00:00,1.16339,1.1635,1.16334,1.16338
2025-10-15 17:26:00+00:00,1.16338,1.16344,1.1633,1.16332
2025-10-15 17:27:00+00:00,1.16332,1.16342,1.16327,1.16338
2025-10-15 17:28:00+00:00,1.16337,1.16348,1.16337,1.16342
2025-10-15 17:29:00+00:00,1.16342,1.16342,1.16318,1.16329
2025-10-15 17:30:00+00:00,1.16329,1.1633,1.16318,1.1633
2025-10-15 17:31:00+00:00,1.1633,1.16332,1.16318,1.16331
2025-10-15 17:32:00+00:00,1.16332,1.1634,1.16332,1.16335
2025-10-15 17:33:00+00:00,1.16334,1.16339,1.16322,1.16322
2025-10-15 17:34:00+00:00,1.16322,1.16326,1.16302,1.16306
2025-10-15 17:35:00+00:00,1.16306,1.16334,1.16302,1.16324
2025-10-15 17:36:00+00:00,1.16324,1.16326,1.16318,1.16324
2025-10-15 17:37:00+00:00,1.16322,1.16323,1.16301,1.16304
2025-10-15 17:38:00+00:00,1.16304,1.16309,1.16292,1.16298
2025-10-15 17:39:00+00:00,1.16298,1.16305,1.16293,1.16298
2025-10-15 17:40:00+00:00,1.16298,1.16298,1.16283,1.16287
2025-10-15 17:41:00+00:00,1.16289,1.16289,1.16282,1.16284
2025-10-15 17:42:00+00:00,1.16284,1.16288,1.1627,1.16275
2025-10-15 17:43:00+00:00,1.16277,1.16294,1.16277,1.16288
2025-10-15 17:44:00+00:00,1.16286,1.16308,1.16285,1.16298
2025-10-15 17:45:00+00:00,1.16297,1.16299,1.16292,1.16297
2025-10-15 17:46:00+00:00,1.16295,1.16306,1.16295,1.163
2025-10-15 17:47:00+00:00,1.16301,1.16302,1.16276,1.16282
2025-10-15 17:48:00+00:00,1.16281,1.16296,1.16281,1.16292
2025-10-15 17:49:00+00:00,1.16291,1.16292,1.16286,1.16289
2025-10-15 17:50:00+00:00,1.1629,1.16297,1.16286,1.16296
2025-10-15 17:51:00+00:00,1.16297,1.16299,1.16285,1.1629
2025-10-15 17:52:00+00:00,1.1629,1.16292,1.16278,1.16278
2025-10-15 17:53:00+00:00,1.16277,1.16286,1.16276,1.16286
2025-10-15 17:54:00+00:00,1.16286,1.16289,1.16276,1.16282
2025-10-15 17:55:00+00:00,1.16282,1.16286,1.16273,1.16276
2025-10-15 17:56:00+00:00,1.16278,1.16286,1.16276,1.1628
2025-10-15 17:57:00+00:00,1.16281,1.16282,1.16276,1.1628
2025-10-15 17:58:00+00:00,1.16279,1.16296,1.16278,1.16292
2025-10-15 17:59:00+00:00,1.16292,1.16296,1.16291,1.16294
2025-10-15 18:00:00+00:00,1.16294,1.16301,1.16288,1.16291
2025-10-15 18:01:00+00:00,1.16292,1.16298,1.16291,1.16298
2025-10-15 18:02:00+00:00,1.16297,1.16312,1.16294,1.16308
2025-10-15 18:03:00+00:00,1.16308,1.1631,1.16296,1.16307
2025-10-15 18:04:00+00:00,1.16306,1.16314,1.16304,1.16306
2025-10-15 18:05:00+00:00,1.16306,1.16314,1.16305,1.16308
2025-10-15 18:06:00+00:00,1.16308,1.16322,1.16301,1.16302
2025-10-15 18:07:00+00:00,1.16302,1.16302,1.16287,1.16294
2025-10-15 18:08:00+00:00,1.16294,1.16302,1.16279,1.16281
2025-10-15 18:09:00+00:00,1.1628,1.16299,1.1628,1.16298
2025-10-15 18:10:00+00:00,1.16297,1.16302,1.16294,1.16302
2025-10-15 18:11:00+00:00,1.16302,1.16304,1.16297,1.16302
2025-10-15 18:12:00+00:00,1.16303,1.16303,1.16292,1.16297
2025-10-15 18:13:00+00:00,1.16298,1.16302,1.16297,1.16298
2025-10-15 18:14:00+00:00,1.16297,1.16306,1.16296,1.16302
2025-10-15 18:15:00+00:00,1.16302,1.16302,1.16296,1.16301
2025-10-15 18:16:00+00:00,1.163,1.16303,1.16292,1.16294
2025-10-15 18:17:00+00:00,1.16294,1.16304,1.16293,1.16304
2025-10-15 18:18:00+00:00,1.16304,1.16311,1.16302,1.16309
